item_name,item_description,size,item_price,name_category,item_category
Pere Magloire Fine V.S,,50 мл,500,Кальвадос,calvados
Pomme de Victor,,50 мл,300,Кальвадос,calvados
Старейшина 3 года,,,150,Коньяк,cognac
Кальвадос Помм Де Виктор,,,150,Коньяк,cognac
Жак Де Ла Круа,,,150,Коньяк,cognac
Рулле ВСОП,,50 мл,540,Коньяк,cognac
Брюннель Наполеон VSOP,,50 мл,240,Коньяк,cognac
Абсент Оазис,,,150,Аперетивы / Ликер,liqueurs-aperitifs
Тундра Битер,,,150,Аперетивы / Ликер,liqueurs-aperitifs
Тундра Битер Минт,,,150,Аперетивы / Ликер,liqueurs-aperitifs
Аппероль,,,180,Аперетивы / Ликер,liqueurs-aperitifs
Мартини Экстра Драй,,,150,Аперетивы / Ликер,liqueurs-aperitifs
Тундра Битер Оранж,,,150,Аперетивы / Ликер,liqueurs-aperitifs
 Самбука Нива,,,150,Аперетивы / Ликер,liqueurs-aperitifs
Аперетиво,,50 мл,100,Аперетивы / Ликер,liqueurs-aperitifs
Limonica Sambuca Extra,,50 мл,160,Аперетивы / Ликер,liqueurs-aperitifs
Чай,,,70,Кофе ☕️,coffee
Латте,,,120,Кофе ☕️,coffee
Капучино,,,100,Кофе ☕️,coffee
Американо,,,50,Кофе ☕️,coffee
Эспрессо,,,50,Кофе ☕️,coffee
Арахис,,100 гр,150,Кухня 🥘,kitchen
Брускет с паштетом 4шт,,180-200гр,250,Кухня 🥘,kitchen
Вяленное мясо,,,350,Кухня 🥘,kitchen
Говядина Вяленное мясо,,,250,Кухня 🥘,kitchen
Курица Вяленное мясо,,,300,Кухня 🥘,kitchen
Свинина,,,                 ??,Кухня 🥘,kitchen
Гренки с моцарелла 8 шт,,250 гр,150,Кухня 🥘,kitchen
Фри,,100 гр,100,Кухня 🥘,kitchen
Айдахо,,100 гр,120,Кухня 🥘,kitchen
Крылья Баффало 7шт,,,320,Кухня 🥘,kitchen
Ножки 3шт,,,320,Кухня 🥘,kitchen
Купаты 2шт,,,390,Кухня 🥘,kitchen
Наггетсы 6шт,,,130,Кухня 🥘,kitchen
Паутинка с мясом,,220 гр,300,Кухня 🥘,kitchen
Пельмени,,100 гр,150,Кухня 🥘,kitchen
Сало два вида,,60 гр,250,Кухня 🥘,kitchen
Сыр косичка,,100 гр,200,Кухня 🥘,kitchen
Фисташки,,100 гр,250,Кухня 🥘,kitchen
IPA,,,260,Пиво 🍺,beer
Лагер Тельман,,"0,5 л",220,Пиво 🍺,beer
Крафт банка,,,350,Пиво 🍺,beer
Peterhof,,"0,5 л",150,Пиво 🍺,beer
Черничный страут,,"0,5 л",240,Пиво 🍺,beer
Томатный Гозе,,,250,Пиво 🍺,beer
Шато Тамань Белое,,,280,Шампанское 🍾,champagne
Шато Тамань Игристое,,,250,Шампанское 🍾,champagne
Шато Тамань Розовое,,,280,Шампанское 🍾,champagne
 ADRENALINE Rush,,"0,5 л",150,Безалкогольные напитки,soft-drinks
AQUA MINERALE,,"0,5 л",80,Безалкогольные напитки,soft-drinks
ЛИМОНАД,,,55,Безалкогольные напитки,soft-drinks
"Напиток ""Кока-кола""",,,440,Безалкогольные напитки,soft-drinks
Топпинг,,,35,Безалкогольные напитки,soft-drinks
Тоник,,,300,Безалкогольные напитки,soft-drinks
Сок,,,400,Безалкогольные напитки,soft-drinks
Пачука Сильвер,,50 мл,180,Текила 🌵,tequila
Текила сильвер NEWTON,,50 мл,200,Текила 🌵,tequila
Олд Монк Выдержанный,,,200,Ром,rum
Олд Монк Белый,,,170,Ром,rum
РОМ ЭЛЕ БОКО БЛЕК,,50 мл,160,Ром,rum
РОМ ЭЛЕ БОКО ВАЙТ,,50 мл,160,Ром,rum
Джим Бим,,,250,Виски 🥃,whiskey
Джим Бим Ред Стаг,,,250,Виски 🥃,whiskey
Джим Бим Хани,,,250,Виски 🥃,whiskey
Джим Бим Эппл,,,250,Виски 🥃,whiskey
Blend,,50 мл,180,Виски 🥃,whiskey
GlenDale,,50 мл,230,Виски 🥃,whiskey
William Watt,,50 мл,150,Виски 🥃,whiskey
КЕНТУКИ БОУТ,,50 мл,230,Виски 🥃,whiskey
МАК ДУКАН МЁД ,,50 мл,100,Виски 🥃,whiskey
Royal Hunt,,50 мл,150,Виски 🥃,whiskey
Настойка,,150 мл,150,Водка,vodka
Самагон,,,150,Водка,vodka
Царская Золотая,,,120,Водка,vodka
Царская Ориг,,,100,Водка,vodka
ЦАРСКАЯ ГРУША,,50 мл,130,Водка,vodka
Царская грейпфрут,,50 мл,130,Водка,vodka
ЦАРСКАЯ СЕЛО,,50 мл,130,Водка,vodka
ЦАРСКАЯ ЦИТРОН,,50 мл,130,Водка,vodka
ЦАРСКАЯ МАЛИНА,,50 мл,130,Водка,vodka
ЦАРСКАЯ КЛЮКВЕННАЯ,,50 мл,130,Водка,vodka
Чайковский водка,,50 мл,150,Водка,vodka
